Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
PULAMANTHOLE,Kerala,PALAKKAD,West flowing rivers from Tadri to Kanyakumari,Pulanthodu,10.898055555555555,76.19194444444445,"Southern Western River Division(SWRD), Kochi",Base
MURAPPANADU,Tamil Nadu,Tuticorin,East flowing rivers between Pennar and Kanyakumari,Thambraparani,8.714444444444444,77.835,"Southern River Division(SRD), Coimbatore",Base
Sikandarpur (Muzzafarpur),Bihar,MUZAFFARPUR,Ganga,Burhi Gandak,26.142777777777777,85.3761111111111,"Lower Ganga Division-I(LGD-I), Patna",Level
V.Kallathur,Tamil Nadu,Perambalur,East flowing rivers between Pennar and Kanyakumari,Sweta,11.4025,78.92972222222222,"Hydrology Division(HD),Chennai",Base
VELDA,Gujarat,Surat,Tapi,Tapi,21.479166666666664,74.14361111111111,"Executive Engineer, Tapi Division, Surat",Base
Head Sirhind Feeder Mallawala,Punjab,FEROZEPUR,Indus,Beas,31.02722222222222,74.85055555555554,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Denwa at Matkuli,Madhya Pradesh,HOSHANGABAD,Narmada,Narmada,22.584444444444443,78.46000000000001,"Narmada Division(ND), Bhopal",Base
Massanjore Dam,Jharkhand,DUMKA,Ganga,Mayurakshi,24.10638888888889,87.30722222222222,"Damodar Division(DD), Asansol",Inflow
ETALIN,Arunachal Pradesh,DIBANG VALLEY,Brahmaputra,Nao Dehing,28.60888888888889,95.86972222222222,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Mohammad Ganj,Jharkhand,PALAMAU,Ganga,North_Koel,24.430833333333336,83.86222222222221,"Lower Ganga Division-II(LGD-II), Patna",Base
Harike Headworks_BBMB,Punjab,FARIDKOT,Indus,-,31.1427777777778,74.9488888888889,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Gahampai,Assam,Dima Hasao,Brahmaputra,Kopili,25.804166666666667,92.93916666666667,"Middle Brahmaputra Division (MBD), Guwahati",Base
Duddhi,Uttar Pradesh,SONBHADRA,Ganga,Kanhar,24.224166666666665,83.26972222222223,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Lowara,Gujarat,Bhavnagar,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji,21.44388888888889,71.56027777777777,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Pilibhit,Uttar Pradesh,PILIBHIT,Ganga,Deoha,28.618055555555557,79.79166666666667,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Surat,Gujarat,Surat,Tapi,Tapi,21.2,72.82,"Executive Engineer, Tapi Division, Surat",Level
Renuka Ji,Himachal Pradesh,SIRMAUR,Ganga,Giri,30.604444444444447,77.44111111111111,"Upper Yamuna Division(UYD), New Delhi",Base
BELUR,Karnataka,Hassan,Cauvery,Yagachi,13.169722222222221,75.87194444444444,"Cauvery Division, Bangaluru",Base
Kakardhari,Uttar Pradesh,SHRAWASTI,Ganga,Rapti,27.89527777777778,81.77444444444444,"Middle Ganga Division-I(MGD-I), Lucknow",Level
Rengali D/S,Odisha,ANUGUL,Brahmani and Baitarni,Brahmani,21.273055555555555,85.03055555555555,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Sip at Dholpur,Madhya Pradesh,SEHORE,Narmada,Narmada,22.60638888888889,77.19611111111111,"Narmada Division(ND), Bhopal",Base
BARCHA,Uttar Pradesh,BANDA,Ganga,Baghain,25.139444444444443,80.47833333333334,"Lower Yamuna Division(LYD), Agra",Base
Nandprayag,Uttarakhand,Chamoli,Ganga,Alaknanda,30.33111111111111,79.30944444444444,"Himalayan Ganga Division,Haridwar",Base
PANGKHUAH,Mizoram,LAWNGTLAI,Minor rivers draining into Myanmar and Bangladesh,Kolodyne,22.791111111111114,93.09777777777778,"North Eastern Investigation Division-II, Aizawal",Base
Chakaliya,Gujarat,Dohad,Mahi,Anas,23.051944444444445,74.31972222222223,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Paderdibadi,Rajasthan,DUNGARPUR,Mahi,Mahi,23.76638888888889,74.13388888888889,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Gudari,Odisha,RAYAGADA,East flowing rivers between Mahanadi and Pennar,Vamsadhara,19.404444444444444,83.76638888888888,"Eastern Rivers Division(ERD), Bhubaneswar",Base
