Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
Mahua,Bihar,VAISHALI,Ganga,Gandak,25.8125,85.39277777777778,"Lower Ganga Division-II(LGD-II), Patna",Base
Potteru (Potteruvagu),Odisha,MALKANGIRI,Godavari,Potteru vagu,18.189444444444444,81.79805555555555,"Lower Godavari Division(LGD), Hyderabad",Base
Machak at Barangi,Madhya Pradesh,HARDA,Narmada,Narmada,22.21722222222222,76.94611111111111,"Narmada Division(ND), Bhopal",Base
Thal,Uttarakhand,Pithoragarh,Ganga,Ram Ganga,29.8275,80.14111111111112,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Cherribeda (Bardha),Chhattisgarh,NARAYANPUR,Godavari,Bardha,19.645833333333332,81.48583333333333,"Lower Godavari Division(LGD), Hyderabad",Base
NARASIMHARAJAPURA,Karnataka,Chikkamagaluru,Krishna,Bhadra,13.607777777777777,75.50861111111111,"Cauvery Division, Bangaluru",Base
Baripada,Odisha,MAYURBHANJ,Subernarekha,Burhabalang,21.93111111111111,86.71861111111112,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Kalmane,Karnataka,Shivamogga,Krishna,Tunga,13.652222222222223,75.17916666666667,"Cauvery Division, Bangaluru",Base
Muri,Jharkhand,RANCHI,Subernarekha,Subarnarekha,23.36888888888889,85.87527777777777,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Fatehgarh,Uttar Pradesh,FARRUKHABAD,Ganga,Ganga,27.40138888888889,79.62305555555555,"Middle Ganga Division-II(MGD-II), Lucknow",Level
SEMARKHEDI,Madhya Pradesh,ASHOK NAGAR,Ganga,betwa,24.399722222222223,78.17805555555556,"Lower Yamuna Division(LYD), Agra",Base
Zamania,Uttar Pradesh,GHAZIPUR,Ganga,Karamnasa,25.3,83.52805555555555,"Lower Ganga Division-II(LGD-II), Patna",Base
Sonapur,Meghalaya,East Jaintia Hills,Barak and Others,Lubha,25.110555555555557,92.36277777777777,"Meghna Investigation Division(MID), Shillong",Base
Kalanaur,Uttar Pradesh,SAHARANPUR,Ganga,Yamuna,30.067777777777778,77.35388888888889,"Upper Yamuna Division(UYD), New Delhi",Base
Nandipalli,Andhra Pradesh,CUDDAPAH,Pennar,Sagileru,14.721111111111112,79.01888888888888,"Hydrology Division(HD),Chennai",Base
Dhurwa Dam,Jharkhand,RANCHI,Subernarekha,Gara,23.290000000000003,85.25277777777778,"Eastern Rivers Division(ERD), Bhubaneswar",Base
THIRUVATTAR,Tamil Nadu,Kanyakumari,West flowing rivers from Tadri to Kanyakumari,Paralayar,8.327777777777778,77.26694444444445,"Southern Western River Division(SWRD), Kochi",Base
Katigorah,Assam,CACHAR,Barak and Others,Katakhal,24.815833333333334,92.64972222222222,"Meghna Division(MD), Silchar",Base
Sahibganj,Jharkhand,Sahebganj,Ganga,Ganga,25.247777777777777,87.64916666666667,"Lower Ganga Division-II(LGD-II), Patna",Level
Sankhili Rd Bridge,Andhra Pradesh,SRIKAKULAM,East flowing rivers between Mahanadi and Pennar,Nagavali,18.569444444444443,83.7375,"Eastern Rivers Division(ERD), Bhubaneswar",Base
G.R.BRIDGE,Maharashtra,Parbhani,Godavari,Godavari,19.01638888888889,76.71638888888889,"Upper Godavari Division(UGD), Hyderabad",Base
Dumariaghat,Bihar,GOPALGANJ,Ganga,Gandak,26.35888888888889,84.74805555555555,"Lower Ganga Division-I(LGD-I), Patna",Level
Altuma,Odisha,DHENKANAL,Brahmani and Baitarni,Ramyala,20.930833333333336,85.51916666666666,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Maner,Bihar,PATNA,Ganga,Sone,25.72722222222222,84.86805555555554,"Lower Ganga Division-II(LGD-II), Patna",Level
Anandpur,Odisha,KENDUJHAR,Brahmani and Baitarni,Baitarani,21.211111111111112,86.12055555555555,"Eastern Rivers Division(ERD), Bhubaneswar",Level
KOTTATHARA,Kerala,PALGHAT,Cauvery,Bhavani,11.123333333333333,76.67944444444444,"Southern River Division(SRD), Coimbatore",Base
LAKHPURI,Maharashtra,Amravati,Tapi,Purna,20.845555555555553,77.36055555555555,"Executive Engineer, Tapi Division, Surat",Base
Bhatpurwaghat,Uttar Pradesh,SITAPUR,Ganga,Gomti,27.191111111111113,80.8,"Middle Ganga Division-II(MGD-II), Lucknow",Base
CHEL,West Bengal,JALPAIGURI,Brahmaputra,Chel,26.8625,88.63611111111112,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Mathabhanga,West Bengal,COOCH BEHAR,Brahmaputra,Jaldhaka,26.325277777777778,89.23444444444445,"Lower Brahmaputra Division (LBD), Jalpaiguri",Level
Choral at Barwah,Madhya Pradesh,Khargone,Narmada,Narmada,22.246111111111112,76.05166666666666,"Narmada Division(ND), Bhopal",Base
ANKUSHAPUR,Telangana,BHUPALPALLY,Godavari,Maner,18.352777777777778,79.63805555555557,"Upper Godavari Division(UGD), Hyderabad",Base
Mechuka,Arunachal Pradesh,WEST SIANG,Brahmaputra,Siyum,28.600555555555555,94.1463888888889,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Barabisha,West Bengal,ALIPURDUAR,Brahmaputra,Sankosh,26.47472222222222,89.7863888888889,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Nagarjuna Sagar Dam,Telangana,NALGONDA,Krishna,Krishna,16.5,79.25,"Lower Krishna Division(LKD), Hyderabad",Inflow
Gotta Barrage,Andhra Pradesh,SRIKAKULAM,East flowing rivers between Mahanadi and Pennar,Vamsadhara,18.688055555555557,83.96388888888889,"Eastern Rivers Division(ERD), Bhubaneswar",Inflow
Gadarwara,Madhya Pradesh,NARSIMHAPUR,Narmada,Shakkar,22.92388888888889,78.79194444444444,"Narmada Division(ND), Bhopal",Base
Jaggaguda,Odisha,GAJAPATI,East flowing rivers between Mahanadi and Pennar,Nagavali,19.11138888888889,83.42416666666666,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Sikti,Bihar,ARARIA,Ganga,Mahananda,26.410277777777775,87.44972222222222,"Lower Ganga Division-I(LGD-I), Patna",Base
MUNDALI(D/S),Odisha,CUTTACK,,,20.45,85.73972222222223,"Mahanadi Division(MD), Burla",Base
Tehri Dam,Uttarakhand,Tehri Garhwal,Ganga,Bhagirathi,30.37777777777778,78.47777777777777,"Himalayan Ganga Division,Haridwar",Inflow
KIDANGOOR,Kerala,KOTTAYAM,West flowing rivers from Tapi to Tadri,Meenachil,9.674999999999999,76.60277777777777,"Southern Western River Division(SWRD), Kochi",Base
Sarangpal,Chhattisgarh,KANKER,Mahanadi,Mahanadi,20.31407777777778,81.53305555555555,"Mahanadi Division(MD), Burla",Base
Madhira,Telangana,KHAMMAM,Krishna,Wyra,16.918055555555558,80.35888888888888,"Lower Krishna Division(LKD), Hyderabad",Base
Sundergarh,Odisha,SUNDARGARH,Mahanadi,Ib,22.11527777777778,83.39916666666667,"Mahanadi Division(MD), Burla",Base
KOLORIANG,Arunachal Pradesh,Kurung Kumey,Brahmaputra,Subansiri,27.898888888888887,93.34305555555555,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
NAUKUCHIATAL,Uttarakhand,Nainital,Ganga,Bhakhra,29.318555555555555,79.58416666666666,"Executive Engineer, SPMU, IRI, Roorkee-247667",Base
YETIKOPPAKA,Andhra Pradesh,VISAKHAPATNAM,Ganga,varaha,17.488333333333333,82.74277777777777,"RO, WQL-2, DOWLAISWARAM",Base
Seohara,Uttar Pradesh,BIJNOR,Ganga,RAMGANGA,29.23888888888889,78.65694444444445,"Middle Ganga Division-II(MGD-II), Lucknow",Base
Ekmighat,Bihar,DARBHANGA,Ganga,Adhwara,26.119444444444444,85.87638888888888,"Lower Ganga Division-I(LGD-I), Patna",Level
Maan at Gopalpura,Madhya Pradesh,DHAR,Narmada,Man,22.261388888888888,75.10222222222221,"Narmada Division(ND), Bhopal",Base
Salebhata,Odisha,BALANGIR,Mahanadi,Ong,20.983055555555556,83.53694444444444,"Mahanadi Division(MD), Burla",Base
Idamalayar Reservoir,Kerala,ERNAKULAM,West flowing rivers from Tadri to Kanyakumari,Periyar,10.22,76.7,"Southern Western River Division(SWRD), Kochi",Inflow
Mohauddin Nagar,Bihar,SAMASTIPUR,Ganga,Baya,25.59472222222222,85.68444444444445,"Lower Ganga Division-I(LGD-I), Patna",Base
Gandhi Sagar Reservoir,Madhya Pradesh,MANDSAUR,Ganga,Chambal,24.65,75.61,"Chambal Division(CD), Jaipur",Inflow
GHEROPARA,West Bengal,BIRBHUM,Ganga,Ajoy,23.618055555555557,87.70305555555557,"Damodar Division(DD), Asansol",Level
Meenus(Tons),Himachal Pradesh,SIRMAUR,Ganga,Tons,30.761388888888888,77.70527777777778,"Upper Yamuna Division(UYD), New Delhi",Base
Karkari Road Bridge,Jharkhand,Saraikela,Subernarekha,Karkari,22.96527777777778,85.53888888888889,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Salempur,Uttar Pradesh,DEORIA,Ganga,Little Gandak,26.291944444444447,83.9363888888889,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Dadri,Haryana,JHAJJAR,Ganga,Sahibi,28.504722222222224,76.79027777777777,"Upper Yamuna Division(UYD), New Delhi",Base
TIRTHAHALLI,Karnataka,Shivamogga,Krishna,Tunga,13.691944444444445,75.24833333333333,"Cauvery Division, Bangaluru",Base
BANGAON,West Bengal,NORTH 24 PARGANAS,Ganga,Ichamati,23.04638888888889,88.83111111111111,"Lower Ganga Division III(LGD-III), Berhampore",Base
DAMODAR RLY. BRIDGE,West Bengal,BARDDHAMAN,Ganga,Damodar,23.64388888888889,86.89611111111111,"Damodar Division(DD), Asansol",Base
Purusottampur,Odisha,GANJAM,East flowing rivers between Mahanadi and Pennar,Rushikulya,19.516666666666666,84.88333333333334,"Eastern Rivers Division(ERD), Bhubaneswar",Level
Singimari,West Bengal,COOCH BEHAR,Brahmaputra,Jaldhaka,26.11277777777778,89.35,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Kibithu,Arunachal Pradesh,ANJAW,Brahmaputra,Lohit,28.25722222222222,97.02583333333334,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Pathagudem,Chhattisgarh,BIJAPUR,Godavari,Indravathi,18.81638888888889,80.35,"Lower Godavari Division(LGD), Hyderabad",Base
Saigaon,Karnataka,Bidar,Godavari,Manjira,18.05,77.04972222222221,"Upper Godavari Division(UGD), Hyderabad",Base
MANIKAL,Kerala,KOTTAYAM,West flowing rivers from Tadri to Kanyakumari,Manimala,9.531111111111112,76.91222222222223,"Southern Western River Division(SWRD), Kochi",Base
Kaner at Mendhikheda,Madhya Pradesh,Khargone,Narmada,Narmada,22.408055555555553,76.22,"Narmada Division(ND), Bhopal",Base
Purunagarh,Odisha,DEBAGARH,Brahmani and Baitarni,Brahmani,21.52638888888889,84.7125,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Kanke Rd. Bridge,Jharkhand,RANCHI,Subernarekha,Jumar,23.45,85.31388888888888,"Eastern Rivers Division(ERD), Bhubaneswar",Base
MANSURPUR,Uttar Pradesh,FATEHPUR,Ganga,Rind,25.945555555555554,80.53138888888888,"Lower Yamuna Division(LYD), Agra",Base
Kabini Reservoir,Karnataka,Mysore,Cauvery,Kabini,11.973391666666666,76.35275,"Cauvery Division, Bangaluru",Inflow
Dubi,Rajasthan,SAWAI MADHOPUR,Ganga,Banas,26.19361111111111,76.36777777777777,"Chambal Division(CD), Jaipur",Base
Ranikor,Meghalaya,South West Khasi Hills,Barak and Others,kynshi,25.219166666666666,91.24527777777777,"Meghna Investigation Division(MID), Shillong",Base
Ghaluwal,Himachal Pradesh,UNA,Indus,Swan,31.479444444444443,76.22277777777778,"Snow Hydrology Division(SHD), Shimla",Base
Panam Dam,Gujarat,Panchmahals,Mahi,Panam,23.054166666666667,73.71666666666667,"Executive Engineer, Mahi Divison, Gandhinagar",Inflow
Nimapara,Odisha,PURI,Mahanadi,Kusavadra,20.060833333333335,86.00638888888889,"Mahanadi Division(MD), Burla",Level
JAGUNGHAT,Assam,TINSUKIA,Brahmaputra,Buridehing,27.39638888888889,95.88694444444445,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
RAMAMANGALAM,Kerala,ERNAKULAM,West flowing rivers from Tapi to Tadri,Muvattupuzha,9.943611111111112,76.47833333333334,"Southern Western River Division(SWRD), Kochi",Base
KUMARGHAT GD SITE,Tripura,Unakoti,Barak and Others,Manu,24.17527777777778,92.02361111111111,"Meghna Division(MD), Silchar",Base
BARIOL,West Bengal,NORTH DINAJPUR,Ganga,Mahananda,25.534722222222225,88.05749999999999,"Lower Ganga Division III(LGD-III), Berhampore",Base
DAMAN,Daman & Diu,Daman,West flowing rivers from Tapi to Tadri,Daman Ganga,20.41,72.83999999999999,"Executive Engineer, Tapi Division, Surat",Level
Joshimath,Uttarakhand,Chamoli,Ganga,Alaknanda,30.566944444444445,79.55333333333333,"Himalayan Ganga Division,Haridwar",Base
Ashti,Maharashtra,Gadchiroli,Godavari,Wainganga,19.684722222222224,79.78861111111111,"Wainganga Division(WD), Nagpur",Base
Mudhol,Karnataka,Bagalkote,Krishna,Ghatprabha,16.323333333333334,75.28111111111112,"Cauvery Division, Bangaluru",Base
Rauta,Bihar,PURNIA,Ganga,West Kankai,26.058333333333334,87.73694444444445,"Lower Ganga Division-I(LGD-I), Patna",Base
Manali_BBMB,Himachal Pradesh,KULLU,Indus,Beas,32.2341666666667,77.1883333333333,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Astha,Madhya Pradesh,SEHORE,Ganga,Parwati,23.03611111111111,76.73555555555555,"Chambal Division(CD), Jaipur",Base
Simultala,Assam,MARIGAON,Brahmaputra,-,26.243333333333336,92.12444444444444,"Middle Brahmaputra Division (MBD), Guwahati",Base
Garjia,Uttarakhand,Nainital,Ganga,Kosi,29.486944444444447,79.14222222222223,"Middle Ganga Division-II(MGD-II), Lucknow",Base
kogaon,Madhya Pradesh,Khargone,Narmada,Kundi,22.101111111111113,75.68444444444445,"Narmada Division(ND), Bhopal",Base
Ayodhya,Uttar Pradesh,Ayodhya,Ganga,Ghagra,26.811111111111114,82.2075,"Middle Ganga Division-I(MGD-I), Lucknow",Level
Sarangpur,Madhya Pradesh,RAJGARH,Ganga,Kalisindh,23.580555555555556,76.46805555555555,"Chambal Division(CD), Jaipur",Base
VELLAIKADAVU,Kerala,THIRUVANANTHAPURAM,West flowing rivers from Tadri to Kanyakumari,Karamana,8.498055555555554,77.0125,"Southern Western River Division(SWRD), Kochi",Base
Hathnikund Barrage,Haryana,YAMUNANAGAR,Ganga,Yamuna,30.314444444444444,77.585,"Upper Yamuna Division(UYD), New Delhi",Inflow
Ramgarh,Jharkhand,RAMGARH,Ganga,Damodar,23.641666666666666,85.5111111111111,"Damodar Division(DD), Asansol",Base
SOHAR,Madhya Pradesh,SINGRAULI,Ganga,Mohan,24.31722222222222,82.27222222222223,"Middle Ganga Division-III(MGD-III), Varanasi",Base
OLAMATTOM,Kerala,IDUKKI,West flowing rivers from Tadri to Kanyakumari,Thodupuzha,9.88861111111111,76.71722222222222,"Southern Western River Division(SWRD), Kochi",Base
JOBRA(D/S),Odisha,CUTTACK,,,20.474999999999998,85.9,"Mahanadi Division(MD), Burla",Base
Kanjyoti,Uttarakhand,Pithoragarh,Ganga,Dhauliganga,30.02611111111111,80.57777777777777,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Derol Bridge,Gujarat,Sabarkantha,Sabarmati,Sabarmati,23.575277777777778,72.80638888888889,"Executive Engineer, Mahi Divison, Gandhinagar",Base
GAJARIA,Tripura,Sepahijala,Barak and Others,Burima,23.649444444444445,91.23083333333334,"Meghna Division(MD), Silchar",Base
PUNASI DAM,Jharkhand,DEOGHAR,Ganga,Ajoy,23.51,85.67,"Damodar Division(DD), Asansol",Base
Khandong Dam,Assam,Dima Hasao,Brahmaputra,Kopili,25.52861111111111,92.63277777777778,"Middle Brahmaputra Division (MBD), Guwahati",Inflow
Rajhara,Jharkhand,PALAMAU,Ganga,North_Koel,24.150555555555552,84.00861111111111,"Lower Ganga Division-II(LGD-II), Patna",Base
Giriyak,Bihar,NALANDA,Ganga,Ganga,25.034166666666668,85.51611111111112,"Lower Ganga Division-II(LGD-II), Patna",Base
Handia,Madhya Pradesh,HARDA,Narmada,Narmada,22.496111111111112,76.99333333333334,"Narmada Division(ND), Bhopal",Base
CHIKKAMALUR,Karnataka,Mandya,Cauvery,Kanava,12.595555555555556,77.05666666666666,"Cauvery Division, Bangaluru",Base
BILLE,Arunachal Pradesh,WEST SIANG,Brahmaputra,Siyum,28.45861111111111,94.68416666666667,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Sitekasa,Maharashtra,Bhandara,Godavari,Bawanthadi,21.58111111111111,79.8,"Wainganga Division(WD), Nagpur",Base
Munugodu,Andhra Pradesh,GUNTUR,Krishna,Lower Krishna,16.554722222222225,80.2063888888889,"Lower Krishna Division(LKD), Hyderabad",Base
Kairi,Madhya Pradesh,REWA,Ganga,Belan,24.96361111111111,81.82472222222222,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Phulgaon,Maharashtra,Pune,Krishna,Bhima,18.66638888888889,74.00166666666667,"Upper Krishna Division(UKD), Pune",Base
Mataji,Madhya Pradesh,RATLAM,Mahi,Mahi,23.349722222222223,74.71805555555555,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Mirzapur,Uttar Pradesh,MIRZAPUR,Ganga,Ganga,25.1546,82.5296,"Middle Ganga Division-III(MGD-III), Varanasi",Level
MEHNDAGHAT,Madhya Pradesh,BHIND,Ganga,Sindh,26.42138888888889,78.91305555555556,"Lower Yamuna Division(LYD), Agra",Base
Barod,Rajasthan,KOTA,Ganga,Kalisindh,25.380277777777778,76.32027777777778,"Chambal Division(CD), Jaipur",Base
Yingkiong,Arunachal Pradesh,UPPER SIANG,Brahmaputra,Siang,28.661666666666665,95.01277777777777,"Upper Brahmaputra Division (UBD), Dibrugarh",Level
Teok,Assam,JORHAT,Brahmaputra,-,26.831666666666667,94.41638888888889,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
PRATAPPUR,Uttar Pradesh,PRAYGRAJ,Ganga,Yamuna,25.299444444444447,81.56555555555555,"Lower Yamuna Division(LYD), Agra",Base
Nagina,Uttar Pradesh,BIJNOR,Ganga,Khoh,29.436944444444446,78.47777777777777,"Middle Ganga Division-II(MGD-II), Lucknow",Base
KIRAOLI,Uttar Pradesh,AGRA,Ganga,Khari,27.124444444444446,77.74138888888889,"Lower Yamuna Division(LYD), Agra",Base
KURANKHEDA,Maharashtra,Akola,Tapi,Katepurna,20.703055555555554,77.24277777777777,"Executive Engineer, Tapi Division, Surat",Base
Therriaghat,Meghalaya,East Khasi Hills,Barak and Others,Umnohryngkew,25.188055555555557,91.765,"Meghna Investigation Division(MID), Shillong",Base
Daltonganj,Jharkhand,PALAMAU,Ganga,North_Koel,24.033055555555556,84.06361111111111,"Lower Ganga Division-II(LGD-II), Patna",Base
Pong Dam_BBMB,Himachal Pradesh,KANGRA,Indus,Beas,31.970277777777778,75.94638888888889,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Parmanpur,Odisha,JHARSUGUDA,Mahanadi,Bheden,21.789444444444445,84.1061111111111,"Mahanadi Division(MD), Burla",Base
Gawana,Maharashtra,Nagpur,Godavari,Pench,21.327222222222222,79.18194444444445,"Wainganga Division(WD), Nagpur",Base
Sangla,Himachal Pradesh,KINNAUR,Indus,Baspa,31.422222222222224,78.26861111111111,"Snow Hydrology Division(SHD), Shimla",Base
MONNAVEDU,Tamil Nadu,Tiruvallur,East flowing rivers between Pennar and Kanyakumari,Kosasthalaiyar,13.223611111111111,79.94527777777778,"Hydrology Division(HD),Chennai",Base
Chanpatia,Bihar,PASHCHIM CHAMPARAN,Ganga,Burhi Gandak,26.960277777777776,84.53555555555555,"Lower Ganga Division-I(LGD-I), Patna",Base
Kheroj,Gujarat,Sabarkantha,Sabarmati,Sabarmati,24.231111111111108,73.00833333333334,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Vijayawada,Andhra Pradesh,KRISHNA,Krishna,Krishna,16.50111111111111,80.625,"Lower Krishna Division(LKD), Hyderabad",Base
KALAIN,Assam,CACHAR,Barak and Others,Barak,24.973055555555554,92.55638888888889,"Meghna Division(MD), Silchar",Base
Kalagarh Dam,Uttarakhand,PAURI GARHWAL,Ganga,Ramganga,29.52027777777778,78.75916666666667,"Middle Ganga Division-II(MGD-II), Lucknow",Inflow
Vaigai Reservoir,Tamil Nadu,Theni,East flowing rivers between Pennar and Kanyakumari,Vaigai,10.053333333333335,77.58916666666666,"Southern River Division(SRD), Coimbatore",Inflow
HANSA,Himachal Pradesh,LAHUL and SPITI,Indus,Spiti,32.44888888888889,77.86305555555555,"Snow Hydrology Division(SHD), Shimla",Base
Dharamtul,Assam,MARIGAON,Brahmaputra,Kopili,26.168333333333333,92.3586111111111,"Middle Brahmaputra Division (MBD), Guwahati",Level
KAITHI,Uttar Pradesh,HAMIRPUR,Ganga,Chandrawal,25.76361111111111,80.2863888888889,"Lower Yamuna Division(LYD), Agra",Base
Sripalpur,Bihar,PATNA,Ganga,Punpun,25.50138888888889,85.12083333333332,"Lower Ganga Division-II(LGD-II), Patna",Level
Rengali Reservoir,Odisha,ANUGUL,Brahmani and Baitarni,Brahmani,21.279999999999998,85.03,"Eastern Rivers Division(ERD), Bhubaneswar",Inflow
KAIMAHA,Uttar Pradesh,MAHOBA,Ganga,Urmil,25.139722222222222,79.75083333333333,"Lower Yamuna Division(LYD), Agra",Base
Chandil Dam,Jharkhand,Sahebganj,Subernarekha,Subarnarekha,22.974444444444444,86.02027777777778,"Eastern Rivers Division(ERD), Bhubaneswar",Inflow
Hivra,Maharashtra,Wardha,Godavari,Wardha,20.547222222222224,78.325,"Wainganga Division(WD), Nagpur",Base
Basantpur,Chhattisgarh,JANJGIR - CHAMPA,Mahanadi,Mahanadi,21.7275,82.78805555555556,"Mahanadi Division(MD), Burla",Base
Musi Dam,Telangana,NALGONDA,Krishna,Musi,17.235,79.52,"Lower Krishna Division(LKD), Hyderabad",Inflow
BASODA,Madhya Pradesh,VIDISHA,Ganga,Betwa,23.88722222222222,77.92027777777778,"Lower Yamuna Division(LYD), Agra",Base
EBRANLI,Arunachal Pradesh,Lower Dibang Valley,Brahmaputra,Nao Dehing,28.374166666666667,95.93166666666667,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Kohdarghat,Uttar Pradesh,PRAYGRAJ,Ganga,Tons,25.151666666666664,81.98222222222222,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Savarshe,Goa,NORTH GOA,West flowing rivers from Tapi to Tadri,Madai,15.503055555555555,74.13666666666667,"Cauvery Division, Bangaluru",Base
Mojowari,Assam,Dima Hasao,Brahmaputra,Kopili,25.540000000000003,92.985,"Middle Brahmaputra Division (MBD), Guwahati",Base
Ghatal,West Bengal,MEDINIPUR,Ganga,Shilabati,22.66611111111111,87.73916666666666,"Damodar Division(DD), Asansol",Base
Jiribam,Manipur,IMPHAL EAST,Barak and Others,Jiri,24.803333333333335,93.11055555555555,"Meghna Investigation Division(MID), Shillong",Base
Tungabhadra Dam,Karnataka,Ballari,Krishna,Tungabhadra,15.26,76.33999999999999,"Lower Krishna Division(LKD), Hyderabad",Inflow
Rajghat_1,Odisha,Baleshwar,Subernarekha,Subarnarekha,21.767777777525993,87.1641666661996,Testing,Base
NARNE,Maharashtra,Jalgaon,Tapi,Anjani,21.12388888888889,75.31694444444445,"Executive Engineer, Tapi Division, Surat",Base
SIKATIYA BARRAGE,Jharkhand,DEOGHAR,Ganga,Ajoy,24.15,86.25,"Damodar Division(DD), Asansol",Inflow
Seppa,Arunachal Pradesh,EAST KAMENG,Brahmaputra,Kamang,27.356944444444444,93.03861111111111,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Muhchurwa Ghat,Uttar Pradesh,SIDDHARTHNAGAR,Ganga,Burhi Rapti,27.408055555555553,82.77527777777777,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Pratappur,Maharashtra,Ahmadnagar,Godavari,Pravara,19.519444444444442,74.38277777777778,"Upper Godavari Division(UGD), Hyderabad",Base
Kukraha,Bihar,GOPALGANJ,Ganga,Gandak,26.56527777777778,84.44694444444445,"Lower Ganga Division-I(LGD-I), Patna",Base
Bonaigarh,Odisha,SUNDARGARH,Brahmani and Baitarni,Brahmani,21.8475,84.87583333333333,"Eastern Rivers Division(ERD), Bhubaneswar",Base
KODUMUDI,Tamil Nadu,Erode,Cauvery,Cauvery,11.08,77.89,"Southern River Division(SRD), Coimbatore",Level
RAJIM,Chhattisgarh,GARIABAND,Mahanadi,Mahanadi,20.974999999999998,81.88055555555555,"Mahanadi Division(MD), Burla",Base
Dighwara,Bihar,SARAN,Ganga,Ganga,25.741111111111113,84.96305555555556,"Lower Ganga Division-II(LGD-II), Patna",Base
Seethanagaram,Andhra Pradesh,EAST GODAVARI,East flowing rivers between Mahanadi and Pennar,Suvrnamukhi,18.66222222222222,83.37027777777777,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Manjhi,Bihar,SARAN,Ganga,Sarju(Babai),25.827222222222222,84.58444444444444,"Lower Ganga Division-II(LGD-II), Patna",Base
Shukratal,Uttar Pradesh,MUZAFFARNAGAR,Ganga,Banganga,29.49127777777778,77.99008333333333,"Himalayan Ganga Division,Haridwar",Base
Dhalegaon,Maharashtra,Parbhani,Godavari,Godavari,19.199722222222224,76.36638888888888,"Upper Godavari Division(UGD), Hyderabad",Base
SAGBARA,Gujarat,Narmada,Tapi,Tapi,21.543055555555558,73.795,"Executive Engineer, Tapi Division, Surat",Base
Satpokholi,Assam,KAMRUP,Brahmaputra,-,26.067777777777778,91.45944444444444,"Middle Brahmaputra Division (MBD), Guwahati",Base
CHANGWANTI,Arunachal Pradesh,ANJAW,Brahmaputra,Lohit,27.893333333333334,96.82833333333333,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Dhulsar,Madhya Pradesh,DHAR,Narmada,Uri,22.205555555555556,74.85166666666666,"Narmada Division(ND), Bhopal",Base
Kathautiya,Jharkhand,PALAMAU,Ganga,North_Koel,24.122222222222224,84.06333333333333,"Lower Ganga Division-II(LGD-II), Patna",Base
Girna Dam,Maharashtra,Nashik,Tapi,Girna,20.47861111111111,74.71555555555555,"Executive Engineer, Tapi Division, Surat",Base
Gharighat,Uttar Pradesh,GONDA,Ganga,Bisuhi,27.00861111111111,82.49555555555555,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Gomlai,Odisha,SUNDARGARH,Brahmani and Baitarni,Brahmani,21.834444444444443,84.91277777777778,"Eastern Rivers Division(ERD), Bhubaneswar",Base
SRI RANGAM,Tamil Nadu,Tiruchirappalli,Cauvery,Cauvery,10.847222222222223,78.6888888888889,"Southern River Division(SRD), Coimbatore",Base
Mahendragarh,Odisha,GAJAPATI,East flowing rivers between Mahanadi and Pennar,Badajhor,19.223333333333333,84.2625,"Eastern Rivers Division(ERD), Bhubaneswar",Base
Byrnihat,Meghalaya,RI BHOI,Brahmaputra,UMTRU,26.040277777777778,91.86583333333333,"Meghna Investigation Division(MID), Shillong",Base
Jewangi,Telangana,RANGA REDDY,Krishna,Kagina,17.254444444444445,77.46277777777777,"Lower Krishna Division(LKD), Hyderabad",Base
Bagaha,Bihar,PASHCHIM CHAMPARAN,Ganga,Gandak,27.129444444444445,84.04833333333333,"Lower Ganga Division-I(LGD-I), Patna",Base
Gaya,Bihar,GAYA,Ganga,Phalgu,24.770833333333332,85.01222222222222,"Lower Ganga Division-II(LGD-II), Patna",Base
Bhomoraguri,Assam,SONITPUR,Brahmaputra,Brahmaputra,26.610833333333336,92.85388888888889,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
