State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
5,64,332,0,0,0,SUB-DISTRICT,Jainti,Rural,6349,30981,14809,16172,4761,2444,2317,7583,3767,3816,46,25,21,19708,11182,8526,11273,3627,7646,16513,7600,8913,12055,5289,6766,10300,3896,6404,291,213,78,100,83,17,1364,1097,267,4458,2311,2147,3514,1601,1913,115,55,60,67,46,21,762,609,153,3042,1560,1482,2349,1049,1300,94,40,54,46,37,9,553,434,119,1416,751,665,1165,552,613,21,15,6,21,9,12,209,175,34,14468,7209,7259
5,64,332,0,0,0,SUB-DISTRICT,Jainti,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,64,333,0,0,0,SUB-DISTRICT,Bhanoli,Total,12167,57824,26948,30876,8840,4556,4284,15408,7407,8001,23,13,10,35558,19553,16005,22266,7395,14871,29714,13234,16480,19821,9252,10569,16430,6599,9831,254,128,126,172,140,32,2965,2385,580,9893,3982,5911,8775,3196,5579,229,126,103,57,44,13,832,616,216,7223,2781,4442,6380,2192,4188,190,101,89,45,40,5,608,448,160,2670,1201,1469,2395,1004,1391,39,25,14,12,4,8,224,168,56,28110,13714,14396
5,64,333,0,0,0,SUB-DISTRICT,Bhanoli,Rural,12167,57824,26948,30876,8840,4556,4284,15408,7407,8001,23,13,10,35558,19553,16005,22266,7395,14871,29714,13234,16480,19821,9252,10569,16430,6599,9831,254,128,126,172,140,32,2965,2385,580,9893,3982,5911,8775,3196,5579,229,126,103,57,44,13,832,616,216,7223,2781,4442,6380,2192,4188,190,101,89,45,40,5,608,448,160,2670,1201,1469,2395,1004,1391,39,25,14,12,4,8,224,168,56,28110,13714,14396
5,64,333,0,0,0,SUB-DISTRICT,Bhanoli,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65,0,0,0,0,DISTRICT,Champawat,Total,53953,259648,131125,128523,37028,19766,17262,47383,24188,23195,1339,777,562,177726,102015,75711,81922,29110,52812,99566,60427,39139,62698,43252,19446,31971,17841,14130,1980,1433,547,911,730,181,27836,23248,4588,36868,17175,19693,28022,11586,16436,2052,1042,1010,659,332,327,6135,4215,1920,27521,13081,14440,20508,8461,12047,1536,864,672,550,268,282,4927,3488,1439,9347,4094,5253,7514,3125,4389,516,178,338,109,64,45,1208,727,481,160082,70698,89384
5,65,0,0,0,0,DISTRICT,Champawat,Rural,45741,221305,110842,110463,32342,17198,15144,41725,21262,20463,1084,640,444,149910,86379,63531,71395,24463,46932,88092,50601,37491,52275,34254,18021,31300,17482,13818,1763,1256,507,714,547,167,18498,14969,3529,35817,16347,19470,27994,11572,16422,1989,992,997,564,252,312,5270,3531,1739,26610,12352,14258,20481,8447,12034,1491,829,662,464,196,268,4174,2880,1294,9207,3995,5212,7513,3125,4388,498,163,335,100,56,44,1096,651,445,133213,60241,72972
5,65,0,0,0,0,DISTRICT,Champawat,Urban,8212,38343,20283,18060,4686,2568,2118,5658,2926,2732,255,137,118,27816,15636,12180,10527,4647,5880,11474,9826,1648,10423,8998,1425,671,359,312,217,177,40,197,183,14,9338,8279,1059,1051,828,223,28,14,14,63,50,13,95,80,15,865,684,181,911,729,182,27,14,13,45,35,10,86,72,14,753,608,145,140,99,41,1,0,1,18,15,3,9,8,1,112,76,36,26869,10457,16412
5,65,334,0,0,0,SUB-DISTRICT,Champawat,Total,11902,54524,27767,26757,8133,4387,3746,7786,4003,3783,264,196,68,36571,21517,15054,17953,6250,11703,21900,12735,9165,14895,9645,5250,8413,4527,3886,431,252,179,134,109,25,5917,4757,1160,7005,3090,3915,5256,2115,3141,622,265,357,58,35,23,1069,675,394,5316,2263,3053,3938,1414,2524,428,231,197,46,28,18,904,590,314,1689,827,862,1318,701,617,194,34,160,12,7,5,165,85,80,32624,15032,17592
5,65,334,0,0,0,SUB-DISTRICT,Champawat,Rural,10730,49723,25224,24499,7579,4070,3509,6893,3533,3360,219,172,47,32677,19382,13295,17046,5842,11204,20544,11632,8912,13603,8587,5016,8331,4476,3855,424,248,176,94,72,22,4754,3791,963,6941,3045,3896,5247,2109,3138,610,255,355,55,34,21,1029,647,382,5258,2222,3036,3930,1408,2522,420,225,195,43,27,16,865,562,303,1683,823,860,1317,701,616,190,30,160,12,7,5,164,85,79,29179,13592,15587
