State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
21,377,2909,801833,44,0,WARD,Baleswwar Industrial Estate (OG) (Ward 44) WARD NO.-0044 (Rural MDDS CODE:394273),Urban,94,367,206,161,52,34,18,48,26,22,79,42,37,206,122,84,161,84,77,144,110,34,144,110,34,0,0,0,7,5,2,1,1,0,136,104,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,96,127
21,377,2909,801833,45,0,WARD,Baleswwar Industrial Estate (OG) (Ward 45) WARD NO.-0045 (Rural MDDS CODE:394273),Urban,173,765,394,371,83,56,27,117,60,57,191,100,91,507,266,241,258,128,130,251,217,34,246,215,31,0,0,0,13,9,4,4,4,0,229,202,27,5,2,3,0,0,0,3,1,2,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,514,177,337
21,377,2909,801833,46,0,WARD,Baleswwar Industrial Estate (OG) (Ward 46) WARD NO.-0046 (Rural MDDS CODE:394273),Urban,101,470,233,237,55,31,24,146,65,81,5,2,3,354,181,173,116,52,64,150,124,26,142,122,20,0,0,0,15,13,2,3,3,0,124,106,18,8,2,6,0,0,0,0,0,0,0,0,0,8,2,6,5,2,3,0,0,0,0,0,0,0,0,0,5,2,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,320,109,211
21,377,2909,801833,47,0,WARD,Baleswwar Industrial Estate (OG) (Ward 47) WARD NO.-0047 (Rural MDDS CODE:394273),Urban,76,350,181,169,48,23,25,179,94,85,98,51,47,183,109,74,167,72,95,137,103,34,112,95,17,0,0,0,3,3,0,3,1,2,106,91,15,25,8,17,0,0,0,1,0,1,1,0,1,23,8,15,25,8,17,0,0,0,1,0,1,1,0,1,23,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,78,135
21,377,2909,801833,48,0,WARD,Baleswwar Industrial Estate (OG) (Ward 48) WARD NO.-0048 (Rural MDDS CODE:394273),Urban,255,1165,630,535,114,60,54,155,86,69,5,1,4,965,545,420,200,85,115,364,320,44,312,281,31,63,63,0,9,8,1,2,2,0,238,208,30,52,39,13,3,1,2,3,2,1,4,4,0,42,32,10,51,39,12,3,1,2,2,2,0,4,4,0,42,32,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,801,310,491
21,377,2909,801833,49,0,WARD,Baleswwar Industrial Estate (OG) (Ward 49) WARD NO.-0049 (Rural MDDS CODE:394273),Urban,780,3755,1926,1829,438,210,228,1779,900,879,170,89,81,2675,1477,1198,1080,449,631,1203,1091,112,1023,959,64,104,102,2,156,139,17,20,19,1,743,699,44,180,132,48,2,2,0,134,106,28,0,0,0,44,24,20,168,130,38,2,2,0,123,105,18,0,0,0,43,23,20,12,2,10,0,0,0,11,1,10,0,0,0,1,1,0,2552,835,1717
21,377,2909,801833,50,0,WARD,Baleswwar Industrial Estate (OG) (Ward 50) WARD NO.-0050 (Rural MDDS CODE:394273),Urban,154,644,329,315,64,28,36,0,0,0,51,29,22,419,224,195,225,105,120,207,184,23,196,178,18,30,30,0,43,34,9,0,0,0,123,114,9,11,6,5,1,0,1,2,2,0,0,0,0,8,4,4,11,6,5,1,0,1,2,2,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,145,292
21,377,2909,801833,51,0,WARD,Baleswwar Industrial Estate (OG) (Ward 51) WARD NO.-0051 (Rural MDDS CODE:394273),Urban,153,687,353,334,77,44,33,6,3,3,83,39,44,505,271,234,182,82,100,202,187,15,196,184,12,33,32,1,66,65,1,1,0,1,96,87,9,6,3,3,1,0,1,2,1,1,0,0,0,3,2,1,6,3,3,1,0,1,2,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,166,319
21,377,2909,801833,52,0,WARD,Baleswwar Industrial Estate (OG) (Ward 52) WARD NO.-0052 (Rural MDDS CODE:394273),Urban,60,269,143,126,31,16,15,87,45,42,0,0,0,182,102,80,87,41,46,89,85,4,69,68,1,16,16,0,7,7,0,1,1,0,45,44,1,20,17,3,0,0,0,11,9,2,0,0,0,9,8,1,19,17,2,0,0,0,10,9,1,0,0,0,9,8,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,180,58,122
21,378,0,0,0,0,DISTRICT,Bhadrak,Total,306333,1506337,760260,746077,184560,95048,89512,334896,168687,166209,30428,15361,15067,1094140,596269,497871,412197,163991,248206,468599,409559,59040,328097,302986,25111,130597,126524,4073,75320,69718,5602,8648,7514,1134,113532,99230,14302,140502,106573,33929,25359,20620,4739,76057,60437,15620,5803,3393,2410,33283,22123,11160,114225,88612,25613,20139,16956,3183,61853,50327,11526,4424,2814,1610,27809,18515,9294,26277,17961,8316,5220,3664,1556,14204,10110,4094,1379,579,800,5474,3608,1866,1037738,350701,687037
21,378,0,0,0,0,DISTRICT,Bhadrak,Rural,270791,1320499,665255,655244,161574,83188,78386,316246,159293,156953,24347,12335,12012,964713,525719,438994,355786,139536,216250,411154,359888,51266,282414,262216,20198,125530,121565,3965,70423,65378,5045,6719,5905,814,79742,69368,10374,128740,97672,31068,24539,20022,4517,72593,57641,14952,5345,3099,2246,26263,16910,9353,104613,81309,23304,19512,16479,3033,58976,47912,11064,4079,2584,1495,22046,14334,7712,24127,16363,7764,5027,3543,1484,13617,9729,3888,1266,515,751,4217,2576,1641,909345,305367,603978
21,378,0,0,0,0,DISTRICT,Bhadrak,Urban,35542,185838,95005,90833,22986,11860,11126,18650,9394,9256,6081,3026,3055,129427,70550,58877,56411,24455,31956,57445,49671,7774,45683,40770,4913,5067,4959,108,4897,4340,557,1929,1609,320,33790,29862,3928,11762,8901,2861,820,598,222,3464,2796,668,458,294,164,7020,5213,1807,9612,7303,2309,627,477,150,2877,2415,462,345,230,115,5763,4181,1582,2150,1598,552,193,121,72,587,381,206,113,64,49,1257,1032,225,128393,45334,83059
21,378,2910,0,0,0,SUB-DISTRICT,Agarpada ,Total,12260,58238,29396,28842,7064,3547,3517,15286,7706,7580,3038,1528,1510,42430,23249,19181,15808,6147,9661,19430,16658,2772,12318,11383,935,5273,5171,102,3651,3324,327,326,274,52,3068,2614,454,7112,5275,1837,1268,1167,101,4031,3327,704,711,164,547,1102,617,485,4526,3440,1086,756,731,25,2437,2067,370,420,135,285,913,507,406,2586,1835,751,512,436,76,1594,1260,334,291,29,262,189,110,79,38808,12738,26070
21,378,2910,0,0,0,SUB-DISTRICT,Agarpada ,Rural,12260,58238,29396,28842,7064,3547,3517,15286,7706,7580,3038,1528,1510,42430,23249,19181,15808,6147,9661,19430,16658,2772,12318,11383,935,5273,5171,102,3651,3324,327,326,274,52,3068,2614,454,7112,5275,1837,1268,1167,101,4031,3327,704,711,164,547,1102,617,485,4526,3440,1086,756,731,25,2437,2067,370,420,135,285,913,507,406,2586,1835,751,512,436,76,1594,1260,334,291,29,262,189,110,79,38808,12738,26070
21,378,2910,0,0,0,SUB-DISTRICT,Agarpada ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,378,2911,0,0,0,SUB-DISTRICT,Bant ,Total,13741,63463,32087,31376,7295,3804,3491,17108,8562,8546,2464,1283,1181,48456,26018,22438,15007,6069,8938,19277,17349,1928,13576,12508,1068,5613,5416,197,3916,3724,192,375,342,33,3672,3026,646,5701,4841,860,1328,1268,60,2871,2398,473,331,295,36,1171,880,291,4806,4111,695,1121,1069,52,2398,2031,367,314,284,30,973,727,246,895,730,165,207,199,8,473,367,106,17,11,6,198,153,45,44186,14738,29448
21,378,2911,0,0,0,SUB-DISTRICT,Bant ,Rural,13741,63463,32087,31376,7295,3804,3491,17108,8562,8546,2464,1283,1181,48456,26018,22438,15007,6069,8938,19277,17349,1928,13576,12508,1068,5613,5416,197,3916,3724,192,375,342,33,3672,3026,646,5701,4841,860,1328,1268,60,2871,2398,473,331,295,36,1171,880,291,4806,4111,695,1121,1069,52,2398,2031,367,314,284,30,973,727,246,895,730,165,207,199,8,473,367,106,17,11,6,198,153,45,44186,14738,29448
21,378,2911,0,0,0,SUB-DISTRICT,Bant ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,378,2912,0,0,0,SUB-DISTRICT,Bhandari Pokhari ,Total,24529,110429,55370,55059,12413,6432,5981,26920,13621,13299,3720,1797,1923,84646,45112,39534,25783,10258,15525,35088,30895,4193,25769,23895,1874,10777,10491,286,7597,7074,523,543,478,65,6852,5852,1000,9319,7000,2319,1534,1102,432,5578,4395,1183,284,156,128,1923,1347,576,7806,6138,1668,1208,988,220,4705,3840,865,190,123,67,1703,1187,516,1513,862,651,326,114,212,873,555,318,94,33,61,220,160,60,75341,24475,50866
21,378,2912,0,0,0,SUB-DISTRICT,Bhandari Pokhari ,Rural,24529,110429,55370,55059,12413,6432,5981,26920,13621,13299,3720,1797,1923,84646,45112,39534,25783,10258,15525,35088,30895,4193,25769,23895,1874,10777,10491,286,7597,7074,523,543,478,65,6852,5852,1000,9319,7000,2319,1534,1102,432,5578,4395,1183,284,156,128,1923,1347,576,7806,6138,1668,1208,988,220,4705,3840,865,190,123,67,1703,1187,516,1513,862,651,326,114,212,873,555,318,94,33,61,220,160,60,75341,24475,50866
21,378,2912,0,0,0,SUB-DISTRICT,Bhandari Pokhari ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,378,2913,0,0,0,SUB-DISTRICT,Dhamanagar,Total,24011,119385,60108,59277,14367,7446,6921,22165,11169,10996,1429,733,696,87411,46914,40497,31974,13194,18780,35748,31887,3861,25118,23576,1542,8899,8726,173,7008,6697,311,534,496,38,8677,7657,1020,10630,8311,2319,1505,1228,277,5928,4790,1138,482,241,241,2715,2052,663,9326,7484,1842,1271,1061,210,5340,4389,951,352,205,147,2363,1829,534,1304,827,477,234,167,67,588,401,187,130,36,94,352,223,129,83637,28221,55416
